Order	Family	Regalado	Load	Roger	NA	alpha1	alpha2	PseudoSphingo	Load2
Bacteria	Cellvibrionaceae	#66A61E	#000000	#66A61E	#000000	0.3	1	#000000	#000000
Bacteria	Rhodospirillaceae	#E6AB02	#000000	#E6AB02	#000000	0.3	1	#000000	#000000
Bacteria	Solirubrobacteraceae	#A6761D	#000000	#A6761D	#000000	0.3	1	#000000	#000000
Bacteria	Alcaligenaceae	#666666	#000000	#666666	#000000	0.3	1	#000000	#000000
Bacteria	Kineosporiaceae	#A6CEE3	#000000	#A6CEE3	#000000	0.3	1	#000000	#000000
Bacteria	Peptostreptococcaceae	#1F78B4	#000000	#1F78B4	#000000	0.3	1	#000000	#000000
Bacteria	Planctomycetaceae	#B2DF8A	#000000	#B2DF8A	#000000	0.3	1	#000000	#000000
Bacteria	Acidimicrobiaceae	#33A02C	#000000	#33A02C	#000000	0.3	1	#000000	#000000
Bacteria	Deinococcaceae	#FB9A99	#000000	#FB9A99	#000000	0.3	1	#000000	#000000
Bacteria	Patulibacteraceae	#E31A1C	#000000	#E31A1C	#000000	0.3	1	#000000	#000000
Bacteria	Nakamurellaceae	#FDBF6F	#000000	#FDBF6F	#000000	0.3	1	#000000	#000000
Bacteria	Cellulomonadaceae	#FF7F00	#000000	#FF7F00	#000000	0.3	1	#000000	#000000
Bacteria	Methylocystaceae	#CAB2D6	#000000	#CAB2D6	#000000	0.3	1	#000000	#000000
Bacteria	Opitutaceae	#6A3D9A	#000000	#6A3D9A	#000000	0.3	1	#000000	#000000
Bacteria	Bdellovibrionaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Bacteria	Corynebacteriaceae	#B15928	#000000	#B15928	#000000	0.3	1	#000000	#000000
Bacteria	Labilitrichaceae	#FBB4AE	#000000	#FBB4AE	#000000	0.3	1	#000000	#000000
Bacteria	Streptococcaceae	#B3CDE3	#000000	#B3CDE3	#000000	0.3	1	#000000	#000000
Bacteria	Cyclobacteriaceae	#CCEBC5	#000000	#CCEBC5	#000000	0.3	1	#000000	#000000
Bacteria	Kofleriaceae	#DECBE4	#000000	#DECBE4	#000000	0.3	1	#000000	#000000
Bacteria	Sinobacteraceae	#FED9A6	#000000	#FED9A6	#000000	0.3	1	#000000	#000000
Bacteria	Cryptosporangiaceae	#FFFFCC	#000000	#FFFFCC	#000000	0.3	1	#000000	#000000
Bacteria	Carnobacteriaceae	#E5D8BD	#000000	#E5D8BD	#000000	0.3	1	#000000	#000000
Bacteria	Methylococcaceae	#FDDAEC	#000000	#FDDAEC	#000000	0.3	1	#000000	#000000
Bacteria	Sandaracinaceae	#F2F2F2	#000000	#F2F2F2	#000000	0.3	1	#000000	#000000
Bacteria	Legionellaceae	#B3E2CD	#000000	#B3E2CD	#000000	0.3	1	#000000	#000000
Bacteria	Thermomonosporaceae	#FDCDAC	#000000	#FDCDAC	#000000	0.3	1	#000000	#000000
Bacteria	Bacteroidaceae	#CBD5E8	#000000	#CBD5E8	#000000	0.3	1	#000000	#000000
Bacteria	Nitrosomonadaceae	#F4CAE4	#000000	#F4CAE4	#000000	0.3	1	#000000	#000000
Bacteria	Streptosporangiaceae	#E6F5C9	#000000	#E6F5C9	#000000	0.3	1	#000000	#000000
Bacteria	Porphyromonadaceae	#FFF2AE	#000000	#FFF2AE	#000000	0.3	1	#000000	#000000
Bacteria	Conexibacteraceae	#F1E2CC	#000000	#F1E2CC	#000000	0.3	1	#000000	#000000
Bacteria	Myxococcaceae	#CCCCCC	#000000	#CCCCCC	#000000	0.3	1	#000000	#000000
Bacteria	Lachnospiraceae	#E41A1C	#000000	#E41A1C	#000000	0.3	1	#000000	#000000
Bacteria	Nitrospiraceae	#377EB8	#000000	#377EB8	#000000	0.3	1	#000000	#000000
Bacteria	Enterobacteriaceae	#4DAF4A	#000000	#AB2990	#000000	0.3	1	#000000	#000000
Bacteria	Chromatiaceae	#984EA3	#000000	#984EA3	#000000	0.3	1	#000000	#000000
Bacteria	Spirochaetaceae	#FF7F00	#000000	#FF7F00	#000000	0.3	1	#000000	#000000
Bacteria	Planococcaceae	#FFFF33	#000000	#FFFF33	#000000	0.3	1	#000000	#000000
Bacteria	Ruminococcaceae	#A65628	#000000	#A65628	#000000	0.3	1	#000000	#000000
Bacteria	Xanthobacteraceae	#F781BF	#000000	#F781BF	#000000	0.3	1	#000000	#000000
Bacteria	Rubrobacteraceae	#999999	#000000	#999999	#000000	0.3	1	#000000	#000000
Bacteria	Erysipelotrichaceae	#66C2A5	#000000	#66C2A5	#000000	0.3	1	#000000	#000000
Bacteria	Marinilabiliaceae	#FC8D62	#000000	#FC8D62	#000000	0.3	1	#000000	#000000
Bacteria	Herpetosiphonaceae	#8DA0CB	#000000	#8DA0CB	#000000	0.3	1	#000000	#000000
Bacteria	Fimbriimonadaceae	#E78AC3	#000000	#E78AC3	#000000	0.3	1	#000000	#000000
Bacteria	Caldilineaceae	#A6D854	#000000	#A6D854	#000000	0.3	1	#000000	#000000
Bacteria	Hyphomonadaceae	#FFD92F	#000000	#FFD92F	#000000	0.3	1	#000000	#000000
Bacteria	Oceanospirillaceae	#E5C494	#000000	#E5C494	#000000	0.3	1	#000000	#000000
Bacteria	Desulfobacteraceae	#B3B3B3	#000000	#B3B3B3	#000000	0.3	1	#000000	#000000
Bacteria	Sanguibacteraceae	#8DD3C7	#000000	#8DD3C7	#000000	0.3	1	#000000	#000000
Bacteria	Anaerolineaceae	#FFFFB3	#000000	#FFFFB3	#000000	0.3	1	#000000	#000000
Bacteria	Prevotellaceae	#BEBADA	#000000	#BEBADA	#000000	0.3	1	#000000	#000000
Bacteria	Rickettsiaceae	#FB8072	#000000	#FB8072	#000000	0.3	1	#000000	#000000
Bacteria	Aerococcaceae	#80B1D3	#000000	#80B1D3	#000000	0.3	1	#000000	#000000
Bacteria	Geobacteraceae	#FDB462	#000000	#FDB462	#000000	0.3	1	#000000	#000000
Bacteria	Promicromonosporaceae	#B3DE69	#000000	#B3DE69	#000000	0.3	1	#000000	#000000
Bacteria	Brucellaceae	#FCCDE5	#000000	#FCCDE5	#000000	0.3	1	#000000	#000000
Bacteria	Chthonomonadaceae	#D9D9D9	#000000	#D9D9D9	#000000	0.3	1	#000000	#000000
Bacteria	Beijerinckiaceae	#BC80BD	#000000	#BC80BD	#000000	0.3	1	#000000	#000000
Bacteria	Sphaerobacteraceae	#CCEBC5	#000000	#CCEBC5	#000000	0.3	1	#000000	#000000
Bacteria	Demequinaceae	#FFED6F	#000000	#FFED6F	#000000	0.3	1	#000000	#000000
Bacteria	Trueperaceae	#7FC97F	#000000	#7FC97F	#000000	0.3	1	#000000	#000000
Bacteria	Actinomycetaceae	#BEAED4	#000000	#BEAED4	#000000	0.3	1	#000000	#000000
Bacteria	Staphylococcaceae	#FDC086	#000000	#FDC086	#000000	0.3	1	#000000	#000000
Bacteria	Nocardiopsaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Bacteria	Acholeplasmataceae	#386CB0	#000000	#386CB0	#000000	0.3	1	#000000	#000000
Bacteria	Prolixibacteraceae	#F0027F	#000000	#F0027F	#000000	0.3	1	#000000	#000000
